event_id,expected_answer_date,meeting_date,approved_date,name,party,mp_area,item_text,flag,topic_area,action,notes
S6W-26610,2024-04-30T00:00:00Z,NA,2024-04-02T16:09:23Z,Graham Simpson,Scottish Conservative and Unionist Party,Central Scotland,"To ask the Scottish Government whether it will provide an update on how it plans to meet its target of achieving a 20% reduction in car kilometres travelled by 2030, in light of 47.4 billion vehicle kilometres having been travelled in 2022, according to the Scottish Transport Statistics 2023.",FALSE,,,
S6W-26607,2024-04-30T00:00:00Z,NA,2024-04-02T16:09:23Z,Ariane Burgess,Scottish Green Party,Highlands and Islands,"To ask the Scottish Government what action has been taken since the publication of the Future Planners Project Report, which highlights the need for an additional 700 new planners over the next 10 to 15 years.",FALSE,,,
S6W-26632,2024-04-30T00:00:00Z,NA,2024-04-02T16:09:24Z,Maurice Golden,Scottish Conservative and Unionist Party,North East Scotland,To ask the Scottish Government what vetting process is used when appointing delivery partners for Peatland ACTION.,FALSE,,,
S6W-26621,2024-04-30T00:00:00Z,NA,2024-04-02T16:09:24Z,Miles Briggs,Scottish Conservative and Unionist Party,Lothian,"To ask the Scottish Government what its position is on the use of BS 8414 testing still being allowed as a route to compliance for combustible façade materials to be used on certain buildings, such as hotels, over 11 metres in height.",FALSE,,,
S6W-26631,2024-04-30T00:00:00Z,NA,2024-04-02T16:09:24Z,Maurice Golden,Scottish Conservative and Unionist Party,North East Scotland,"To ask the Scottish Government whether it will provide a list of (a) public, (b) private and (c) third sector delivery partners appointed for Peatland ACTION, including their appointment date.",FALSE,,,
S6W-26606,2024-04-30T00:00:00Z,NA,2024-04-02T16:09:24Z,Colin Smyth,Scottish Labour,South Scotland,To ask the Scottish Government in what month it will publish (a) its annual report in relation to the incentivisation of selective fishing gear and low impact techniques and (b) its response to the consultation on additional quota that closed on 11 January 2024.,FALSE,,,
S6W-26608,2024-04-30T00:00:00Z,NA,2024-04-02T16:09:24Z,Graham Simpson,Scottish Conservative and Unionist Party,Central Scotland,"To ask the Scottish Government whether it will provide an update on how it plans to meet its target of achieving a 20% reduction in car kilometres travelled by 2030, in light of road traffic having increased overall by 9% in 2022-23, according to the Scottish Transport Statistics 2023.",FALSE,,,
S6W-26611,2024-04-30T00:00:00Z,NA,2024-04-02T16:09:24Z,Graham Simpson,Scottish Conservative and Unionist Party,Central Scotland,"To ask the Scottish Government whether it will provide an update on how it plans to meet its target of achieving a 20% reduction in car kilometres travelled by 2030, in light of 34% of people having driven every day in 2022, according to the Scottish Transport Statistics 2023.",FALSE,,,
S6W-26630,2024-04-30T00:00:00Z,NA,2024-04-02T16:09:24Z,Maurice Golden,Scottish Conservative and Unionist Party,North East Scotland,To ask the Scottish Government whether carbon impact is a material consideration when selecting contractors to carry out restoration work funded through Peatland ACTION.,FALSE,,,
S6W-26623,2024-04-30T00:00:00Z,NA,2024-04-02T16:09:24Z,Miles Briggs,Scottish Conservative and Unionist Party,Lothian,"To ask the Scottish Government whether it will consult on fire safety in autumn 2024, based on the work of the Building and Fire Safety Expert Working Group, and, if so, whether any such consultation will cover all of the objectives that the working group is reviewing.",FALSE,,,
S6W-26612,2024-04-30T00:00:00Z,NA,2024-04-02T16:09:25Z,Sharon Dowey,Scottish Conservative and Unionist Party,South Scotland,To ask the Scottish Government whether it will provide an update on what work is being done to promote traditional building skills in rural areas.,FALSE,,,
S6W-26625,2024-04-30T00:00:00Z,NA,2024-04-02T16:09:25Z,Pam Duncan-Glancy,Scottish Labour,Glasgow,To ask the Scottish Government for what reason some secondary schools have reportedly opted not to take up the offer of grants for investing in computer science hardware for schools.,FALSE,,,
S6W-26628,2024-04-30T00:00:00Z,NA,2024-04-02T16:09:25Z,Maurice Golden,Scottish Conservative and Unionist Party,North East Scotland,To ask the Scottish Government what assessment it has made of the geographic coverage of police officers trained to handle dangerous dogs for the purposes of enforcing rules on XL Bully dogs.,FALSE,,,
S6W-26665,2024-05-01T00:00:00Z,NA,2024-04-03T16:24:14Z,Carol Mochan,Scottish Labour,South Scotland,To ask the Scottish Government what action it is taking to ensure that colleges across Scotland undertake pay negotiations in the spirit of the Fair Work Framework.,FALSE,,,
S6W-26662,2024-05-01T00:00:00Z,NA,2024-04-03T16:24:14Z,Carol Mochan,Scottish Labour,South Scotland,To ask the Scottish Government what action it is taking to ensure that there are no compulsory redundancies within the college sector.,FALSE,,,
S6W-26634,2024-05-01T00:00:00Z,NA,2024-04-03T16:24:14Z,Carol Mochan,Scottish Labour,South Scotland,"To ask the Scottish Government what recent preventative spend projects it has invested in, following the recommendations from the Accelerated National Innovation Adoption Pathway programme.",FALSE,,,
S6W-26642,2024-05-01T00:00:00Z,NA,2024-04-03T16:24:14Z,Fergus Ewing,Scottish National Party,Inverness and Nairn,"To ask the Scottish Government what security, guarantee or other assurance was provided to Biffa in relation to its obligations under the contract that it entered into with Circularity Scotland, and whether it will publish the full details of these, including any letters or other written documentation.",FALSE,,,
S6W-26515,2024-05-01T00:00:00Z,NA,2024-04-03T16:24:14Z,Michael Matheson,Scottish National Party,Falkirk West,"To ask the Scottish Government, in light of the reported collapse of McClure Solicitors, what action it can take to (a) support the firm's clients and (b) prevent similar situations occurring in the future.",FALSE,,,
S6W-26648,2024-05-01T00:00:00Z,NA,2024-04-03T16:24:14Z,Alexander Burnett,Scottish Conservative and Unionist Party,Aberdeenshire West,To ask the Scottish Government on what date it will publish updated guidance on the use of mobile phones in schools.,FALSE,,,
S6W-26641,2024-05-01T00:00:00Z,NA,2024-04-03T16:24:15Z,Fergus Ewing,Scottish National Party,Inverness and Nairn,"To ask the Scottish Government what information it has on the most recent estimate of the sum available to be distributed to creditors of Circularity Scotland from the liquidators, from the assets held at the time of the liquidation, which were reported to be £2.1 million, and what information it has received on the total level of fees and outlays (a) paid to date and (b) still to be paid to the liquidators.",FALSE,,,
S6W-26656,2024-05-01T00:00:00Z,NA,2024-04-03T16:24:15Z,Richard Leonard,Scottish Labour,Central Scotland,To ask the Scottish Government whether it will provide an update on when it anticipates that it will be able to provide certainty to Skills Development Scotland regarding its budget for 2024-25.,FALSE,,,
S6W-26644,2024-05-01T00:00:00Z,NA,2024-04-03T16:24:15Z,Fergus Ewing,Scottish National Party,Inverness and Nairn,"To ask the Scottish Government, in light of it stating that the UK Government is responsible for the Deposit Return Scheme in Scotland not proceeding, which will reportedly result in an estimated loss of £9 million of public funding, whether, following the completion of the liquidation of Circularity Scotland, it will attempt to recover any such losses from the UK Government.",FALSE,,,
S6W-26649,2024-05-01T00:00:00Z,NA,2024-04-03T16:24:15Z,Alexander Burnett,Scottish Conservative and Unionist Party,Aberdeenshire West,To ask the Scottish Government whether it will provide an update on when it will publish its national action plan on relationships and behaviour in schools.,FALSE,,,
S6W-26666,2024-05-01T00:00:00Z,NA,2024-04-03T16:24:15Z,Carol Mochan,Scottish Labour,South Scotland,"To ask the Scottish Government when it last met trade unions from the college sector, and what was discussed.",FALSE,,,
S6W-26643,2024-05-01T00:00:00Z,NA,2024-04-03T16:24:16Z,Fergus Ewing,Scottish National Party,Inverness and Nairn,To ask the Scottish Government whether it plans to sue the UK Government in respect of any losses that the (a) Scottish Government and (b) Scottish National Investment Bank incurs as a result of the Deposit Return Scheme not proceeding.,FALSE,,,
S6W-26411,2024-05-01T00:00:00Z,NA,2024-04-03T16:24:16Z,Mark Ruskell,Scottish Green Party,Mid Scotland and Fife,To ask the Scottish Government whether it plans to create a working group with relevant stakeholders on the implementation of the NICE guidance on myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS).,FALSE,,,
S6W-26660,2024-05-01T00:00:00Z,NA,2024-04-03T16:24:16Z,Carol Mochan,Scottish Labour,South Scotland,To ask the Scottish Government what work it has undertaken to encourage school leavers to consider social care as a career pathway.,FALSE,,,
S6W-26650,2024-05-01T00:00:00Z,NA,2024-04-03T16:24:16Z,Pauline McNeill,Scottish Labour,Glasgow,To ask the Scottish Government whether the recent 8.7% increase in ScotRail fares is above the rate of inflation.,FALSE,,,
S6W-26646,2024-05-01T00:00:00Z,NA,2024-04-03T16:24:16Z,Fergus Ewing,Scottish National Party,Inverness and Nairn,"To ask the Scottish Government, further to the oral evidence by the Chair of the Scottish National Investment Bank (SNIB) to the Economy and Fair Work Committee on 21 June 2023, in which he referred to SNIB's ""notes"" on its engagement with the UK Government on the United Kingdom Internal Market Act 2020, whether it will publish any information that it has on these ""notes"", and whether it will publish any correspondence that it has had with the Scottish National Investment Bank on the Act.",FALSE,,,
S6W-26652,2024-05-01T00:00:00Z,NA,2024-04-03T16:24:16Z,Pauline McNeill,Scottish Labour,Glasgow,To ask the Scottish Government how train fares are set by ScotRail since it was brought into public ownership.,FALSE,,,
S6W-26659,2024-05-01T00:00:00Z,NA,2024-04-03T16:24:17Z,Carol Mochan,Scottish Labour,South Scotland,To ask the Scottish Government what recent discussions it has had with (a) COSLA and (b) individual local authorities regarding any role that local government can play in increasing apprenticeship provision for traditional trades.,FALSE,,,
S6W-26645,2024-05-01T00:00:00Z,NA,2024-04-03T16:24:17Z,Fergus Ewing,Scottish National Party,Inverness and Nairn,"To ask the Scottish Government, further to the oral evidence by representatives of the Scottish National Investment Bank (SNIB) to the Economy and Fair Work Committee on 21 June 2023, what information it has on when the loan of £9 million from SNIB to Circularity Scotland was drawn down, including what sums were paid to Circularity Scotland by SNIB and on what dates, and whether it will publish any documents that it has on this matter, including any correspondence that it has had with SNIB regarding any such payments and the loan generally.",FALSE,,,
